STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-22,0.689,4.257
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-23,0.593,2.452
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-24,0.639,2.112
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-25,0.543,1.341
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-26,0.487,1.306
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-27,0.415,1.029
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-28,0.705,5.135
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-29,0.839,18.193
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-30,0.838,11.924
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-07-31,1.055,7.318
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-01,1.145,6.657
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-02,1.156,4.687
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-03,0.916,2.926
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-04,0.619,1.522
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-05,0.745,1.844
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-06,0.973,2.154
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-07,0.965,2.156
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-08,1.089,2.524
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-09,0.77,1.664
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-10,0.565,1.284
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-11,0.472,0.99
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-12,0.394,0.834
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-13,0.416,0.857
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-14,0.927,3.451
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-15,1.199,7.616
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-16,0.94,5.841
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-17,0.803,4.292
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-18,0.49,2.338
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-19,0.416,1.489
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-20,0.712,4.183
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-21,0.895,5.231
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-22,0.832,4.428
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-23,0.711,3.554
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-24,0.653,2.528
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-25,0.435,1.432
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-26,0.522,1.014
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-27,0.737,1.374
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-28,0.852,2.293
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-29,1.07,2.909
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-30,1.245,2.377
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-08-31,1.126,1.972
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-01,1.359,2.132
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-02,0.728,1.173
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-03,0.318,0.69
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-04,0.362,1.034
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-05,0.592,1.994
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-06,0.905,2.533
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-07,0.916,4.189
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-08,0.817,3.694
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-09,0.66,2.852
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-10,0.954,8.779
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-11,1.125,16.933
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-12,1.183,12.498
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-13,1.029,10.511
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-14,0.937,12.641
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-15,0.973,8.894
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-16,0.716,3.657
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-17,0.429,2.063
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-18,0.369,1.89
BUR13,Burdekin River mouth mooring,147.5822,-19.5875,837,2015-09-19,0.579,3.372
